Result Time,Granularity Period,Object Name,Reliability,"L.Cell.Avail.Dur","L.Cell.Unavail.Dur.EnergySaving","L.Cell.Unavail.Dur.Manual","L.Cell.Unavail.Dur.Sys","L.Cell.Unavail.Dur.Sys.S1Fail","L.Voice.E2EVQI.Accept.Times","L.Voice.E2EVQI.Bad.Times","L.Voice.E2EVQI.Excellent.Times","L.Voice.E2EVQI.Good.Times","L.Voice.E2EVQI.Poor.Times"
,Minutes,,,s,s,s,s,s,None,None,None,None,None
2022-07-22 14:00+09:00,15,"ZZP114_PAB0173_HV_KLAKAK/Cell:eNodeB Function Name=ZZP114_PAB0173_HV_KLAKAK, Local Cell ID=22, Cell Name=ZZP114MT1_PAB0173_HV_KLAKAK_MT02, eNodeB ID=1041114, Cell FDD TDD indication=CELL_FDD",Reliable,900,0,0,0,0,0,0,0,0,0
2022-07-22 14:00+09:00,15,"ZZP114_PAB0173_HV_KLAKAK/Cell:eNodeB Function Name=ZZP114_PAB0173_HV_KLAKAK, Local Cell ID=12, Cell Name=ZZP114MT1_PAB0173_HV_KLAKAK_MT01, eNodeB ID=1041114, Cell FDD TDD indication=CELL_FDD",Reliable,900,0,0,0,0,0,0,0,0,0
2022-07-22 14:00+09:00,15,"ZZP107_PAB0162_HV_DAIS/Cell:eNodeB Function Name=ZZP107_PAB0162_HV_DAIS, Local Cell ID=22, Cell Name=ZZP107MT1_PAB0162_HV_DAIS_MT02, eNodeB ID=1041107, Cell FDD TDD indication=CELL_FDD",Reliable,900,0,0,0,0,0,0,0,0,0
2022-07-22 14:00+09:00,15,"ZZP107_PAB0162_HV_DAIS/Cell:eNodeB Function Name=ZZP107_PAB0162_HV_DAIS, Local Cell ID=12, Cell Name=ZZP107MT1_PAB0162_HV_DAIS_MT01, eNodeB ID=1041107, Cell FDD TDD indication=CELL_FDD",Reliable,900,0,0,0,0,0,0,0,0,0
2022-07-22 14:00+09:00,15,"ZZP115_PAB0174_HV_KLALWOK/Cell:eNodeB Function Name=ZZP115_PAB0174_HV_KLALWOK, Local Cell ID=22, Cell Name=ZZP115MT1_PAB0174_HV_KLALWOK_MT02, eNodeB ID=1041115, Cell FDD TDD indication=CELL_FDD",Reliable,900,0,0,0,0,0,0,0,0,0
2022-07-22 14:00+09:00,15,"ZZP115_PAB0174_HV_KLALWOK/Cell:eNodeB Function Name=ZZP115_PAB0174_HV_KLALWOK, Local Cell ID=12, Cell Name=ZZP115MT1_PAB0174_HV_KLALWOK_MT01, eNodeB ID=1041115, Cell FDD TDD indication=CELL_FDD",Reliable,900,0,0,0,0,0,0,0,0,0
2022-07-22 14:00+09:00,15,"ZZP314_PAB0834_HV_KLAKALET/Cell:eNodeB Function Name=ZZP314_PAB0834_HV_KLAKALET, Local Cell ID=22, Cell Name=ZZP314MT1_PAB0834_HV_KLAKALET_MT02, eNodeB ID=1041314, Cell FDD TDD indication=CELL_FDD",Reliable,900,0,0,0,0,0,0,0,0,0
2022-07-22 14:00+09:00,15,"ZZP314_PAB0834_HV_KLAKALET/Cell:eNodeB Function Name=ZZP314_PAB0834_HV_KLAKALET, Local Cell ID=12, Cell Name=ZZP314MT1_PAB0834_HV_KLAKALET_MT01, eNodeB ID=1041314, Cell FDD TDD indication=CELL_FDD",Reliable,900,0,0,0,0,0,0,0,0,0
2022-07-22 14:00+09:00,15,"ZZP317_PAB0840_HV_PUSUTILIGUM/Cell:eNodeB Function Name=ZZP317_PAB0840_HV_PUSUTILIGUM, Local Cell ID=22, Cell Name=ZZP317MT1_PAB0840_HV_PUSUTILIGUM_MT02, eNodeB ID=1041317, Cell FDD TDD indication=CELL_FDD",Reliable,900,0,0,0,0,0,0,0,0,0
2022-07-22 14:00+09:00,15,"ZZP317_PAB0840_HV_PUSUTILIGUM/Cell:eNodeB Function Name=ZZP317_PAB0840_HV_PUSUTILIGUM, Local Cell ID=12, Cell Name=ZZP317MT1_PAB0840_HV_PUSUTILIGUM_MT01, eNodeB ID=1041317, Cell FDD TDD indication=CELL_FDD",Reliable,900,0,0,0,0,0,0,0,0,0
2022-07-22 14:00+09:00,15,"ZZP400_PAB1010_HV_WARIYAU/Cell:eNodeB Function Name=ZZP400_PAB1010_HV_WARIYAU, Local Cell ID=22, Cell Name=ZZP400MT1_PAB1010_HV_WARIYAU_MT02, eNodeB ID=1041400, Cell FDD TDD indication=CELL_FDD",Reliable,900,0,0,0,0,0,0,0,0,0
2022-07-22 14:00+09:00,15,"ZZP400_PAB1010_HV_WARIYAU/Cell:eNodeB Function Name=ZZP400_PAB1010_HV_WARIYAU, Local Cell ID=12, Cell Name=ZZP400MT1_PAB1010_HV_WARIYAU_MT01, eNodeB ID=1041400, Cell FDD TDD indication=CELL_FDD",Reliable,900,0,0,0,0,0,0,0,0,0
2022-07-22 14:00+09:00,15,"ZZP318_PAB0841_HV_KLAWILIBE/Cell:eNodeB Function Name=ZZP318_PAB0841_HV_KLAWILIBE, Local Cell ID=22, Cell Name=ZZP318MT1_PAB0841_HV_KLAWILIBE_MT02, eNodeB ID=1041318, Cell FDD TDD indication=CELL_FDD",Reliable,900,0,0,0,0,0,0,0,0,0
2022-07-22 14:00+09:00,15,"ZZP318_PAB0841_HV_KLAWILIBE/Cell:eNodeB Function Name=ZZP318_PAB0841_HV_KLAWILIBE, Local Cell ID=12, Cell Name=ZZP318MT1_PAB0841_HV_KLAWILIBE_MT01, eNodeB ID=1041318, Cell FDD TDD indication=CELL_FDD",Reliable,900,0,0,0,0,0,0,0,0,0
2022-07-22 14:00+09:00,15,"ZZP050_PAB0077_HV_KMASEN/Cell:eNodeB Function Name=ZZP050_PAB0077_HV_KMASEN, Local Cell ID=22, Cell Name=ZZP050MT1_PAB0077_HV_KMASEN_MT02, eNodeB ID=1041050, Cell FDD TDD indication=CELL_FDD",Reliable,900,0,0,0,0,0,0,0,0,0
2022-07-22 14:00+09:00,15,"ZZP050_PAB0077_HV_KMASEN/Cell:eNodeB Function Name=ZZP050_PAB0077_HV_KMASEN, Local Cell ID=12, Cell Name=ZZP050MT1_PAB0077_HV_KMASEN_MT01, eNodeB ID=1041050, Cell FDD TDD indication=CELL_FDD",Reliable,900,0,0,0,0,0,0,0,0,0
2022-07-22 14:00+09:00,15,"ZZP325_PAB0849_HV_KLABEN/Cell:eNodeB Function Name=ZZP325_PAB0849_HV_KLABEN, Local Cell ID=22, Cell Name=ZZP325MT1_PAB0849_HV_KLABEN_MT02, eNodeB ID=1041325, Cell FDD TDD indication=CELL_FDD",Reliable,900,0,0,0,0,0,0,0,0,0
2022-07-22 14:00+09:00,15,"ZZP325_PAB0849_HV_KLABEN/Cell:eNodeB Function Name=ZZP325_PAB0849_HV_KLABEN, Local Cell ID=12, Cell Name=ZZP325MT1_PAB0849_HV_KLABEN_MT01, eNodeB ID=1041325, Cell FDD TDD indication=CELL_FDD",Reliable,900,0,0,0,0,0,0,0,0,0
2022-07-22 14:00+09:00,15,"ZZP019_PAB0011_HV_KLASIMIGIK/Cell:eNodeB Function Name=ZZP019_PAB0011_HV_KLASIMIGIK, Local Cell ID=22, Cell Name=ZZP019MT1_PAB0011_HV_KLASIMIGIK_MT02, eNodeB ID=1041019, Cell FDD TDD indication=CELL_FDD",Reliable,900,0,0,0,0,0,0,0,0,0
2022-07-22 14:00+09:00,15,"ZZP019_PAB0011_HV_KLASIMIGIK/Cell:eNodeB Function Name=ZZP019_PAB0011_HV_KLASIMIGIK, Local Cell ID=12, Cell Name=ZZP019MT1_PAB0011_HV_KLASIMIGIK_MT01, eNodeB ID=1041019, Cell FDD TDD indication=CELL_FDD",Reliable,900,0,0,0,0,0,0,0,0,0
